species,long,lat
Alouatta_palliata_0,-85.838445,10.29207
Alouatta_palliata_0,-85.843595,10.29587
Alouatta_palliata_0,-85.836711,10.283974
Alouatta_palliata_0,-79.724068,9.140612
Alouatta_palliata_0,-80.339608,7.54504
Alouatta_palliata_0,-83.309065,8.687294
Alouatta_palliata_0,-84.142691,9.38441
Alouatta_palliata_0,-84.141624,9.381408
Alouatta_palliata_0,-83.519621,10.571835
Alouatta_palliata_0,-84.934926,9.813839
Alouatta_palliata_0,-78.745281,9.176895
Alouatta_palliata_0,-85.074104,10.747613
Alouatta_palliata_0,-84.068917,10.451292
Alouatta_palliata_0,-83.411263,8.739759
Alouatta_palliata_0,-83.659683,9.077564
Alouatta_palliata_0,-79.724584,9.131386
Alouatta_palliata_0,-85.723251,10.512692
Alouatta_palliata_0,-83.335492,8.398336
Alouatta_palliata_0,-84.153519,9.402263
Alouatta_palliata_0,-79.659852,9.080508
Alouatta_palliata_0,-84.709002,10.437093
Alouatta_palliata_0,-83.344335,8.411303
Alouatta_palliata_0,-83.341267,8.397312
Alouatta_palliata_0,-83.345506,8.402522
Alouatta_palliata_0,-84.754135,10.487833
Alouatta_palliata_0,-83.589821,8.480183
Alouatta_palliata_0,-83.337775,8.405858
Alouatta_palliata_0,-84.145271,9.382739
Alouatta_palliata_0,-83.338938,8.403956
Alouatta_palliata_0,-83.345261,8.403448
Alouatta_palliata_0,-85.536483,10.985011
Alouatta_palliata_0,-79.714612,9.124977
Alouatta_palliata_0,-79.71636,9.131142
Alouatta_palliata_0,-85.020966,10.265263
Alouatta_palliata_0,-84.696419,10.502876
Alouatta_palliata_0,-84.809158,10.33689
Alouatta_palliata_0,-85.354156,10.732128
Alouatta_palliata_0,-84.141541,9.383694
Alouatta_palliata_0,-84.752655,10.95063
Alouatta_palliata_0,-85.587471,10.246167
Alouatta_palliata_0,-85.592702,10.236938
Alouatta_palliata_0,-85.730805,11.037101
Alouatta_palliata_0,-80.339462,7.54497
Alouatta_palliata_0,-85.354199,10.171861
Alouatta_palliata_0,-83.58272,8.522099
Alouatta_palliata_0,-84.796029,10.304882
Alouatta_palliata_0,-84.141686,9.383213
Alouatta_palliata_0,-87.007197,15.759159
Alouatta_palliata_0,-84.004783,10.43234
Alouatta_palliata_0,-80.121465,-0.113847
Alouatta_palliata_0,-80.123224,-0.112131
Alouatta_palliata_0,-80.122517,-0.114811
Alouatta_palliata_0,-80.124105,-0.117407
Alouatta_palliata_0,-83.502245,10.54243
Alouatta_palliata_0,-82.838175,9.73566
Alouatta_palliata_0,-83.512573,10.552698
Alouatta_palliata_0,-79.731163,9.122349
Alouatta_palliata_0,-79.715486,9.128991
Alouatta_palliata_0,-84.77363,10.894248
Alouatta_palliata_0,-82.65516,9.6188
Alouatta_palliata_0,-85.094547,10.460701
Alouatta_palliata_0,-83.679863,10.435092
Alouatta_palliata_0,-83.230955,8.63216
Alouatta_palliata_0,-79.992632,9.309668
Alouatta_palliata_0,-85.094458,10.460575
Alouatta_palliata_0,-79.842649,9.147242
Alouatta_palliata_0,-79.646812,9.06882
Alouatta_palliata_0,-80.170839,7.489605
Alouatta_palliata_0,-85.12809,10.453547
Alouatta_palliata_0,-83.353859,10.286058
Alouatta_palliata_0,-93.093504,18.2778
Alouatta_palliata_0,-77.801247,8.311133
Alouatta_palliata_0,-79.402864,9.232149
Alouatta_palliata_0,-86.276467,11.956935
Alouatta_palliata_0,-79.64927,9.077656
Alouatta_palliata_0,-82.64614,9.637761
Alouatta_palliata_0,-82.66146,9.626782
Alouatta_palliata_0,-85.164558,9.640257
Alouatta_palliata_0,-83.589333,8.477675
Alouatta_palliata_0,-79.649168,9.077673
Alouatta_palliata_0,-84.709637,10.437195
Alouatta_palliata_0,-85.378774,10.330398
Alouatta_palliata_0,-85.665892,10.431272
Alouatta_palliata_0,-79.545161,8.995849
Alouatta_palliata_0,-79.780217,9.125318
Alouatta_palliata_0,-79.715442,9.129072
Alouatta_palliata_0,-82.559116,9.558897
Alouatta_palliata_0,-77.424413,5.620119
Alouatta_palliata_0,-79.710299,9.119525
Alouatta_palliata_0,-79.700308,9.120231
Alouatta_palliata_0,-82.679332,9.625124
Alouatta_palliata_0,-82.687686,9.627716
Alouatta_palliata_0,-83.509845,10.52845
